t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
21,-61.47014468,-60.40067477,-59.36966046,-58.34552886,-57.32217576,-56.29865571,-55.27481493,-54.25059414,-53.22593688,-52.20077761,-51.17503844,-50.14862614,-49.12142849,-48.0933095,-47.06410328,-46.03360592,-45.00156474,-43.96766376,-42.93150383,-41.89257482,-40.85021594,-39.80355716,-38.75142977,-37.69222232,-36.62363612,-35.54225295,-34.44278947,-33.31701702,-32.15298234,-30.93682312,-29.66098757,-28.33910132,-27.01589985,-25.7555334,-24.61317961,-23.61636013,-22.76694277,-22.05237353,-21.45505643,-20.95736828,-20.54363677
22,-61.46924406,-60.39730524,-59.36544904,-58.34102795,-57.31749575,-56.29380236,-55.26977441,-54.24534783,-53.22046304,-52.1950511,-51.16903007,-50.14230185,-49.11474827,-48.08622605,-47.0565603,-46.02553584,-44.99288576,-43.95827588,-42.92128337,-41.88136681,-40.83782305,-39.78972326,-38.73581393,-37.67435557,-36.6028448,-35.51751938,-34.41251368,-33.27869807,-32.10307388,-30.87146082,-29.57834743,-28.2425621,-26.91463022,-25.66048457,-24.53213251,-23.55237951,-22.71970955,-22.01996115,-21.43507624,-20.94750941,-20.54186132
23,-61.46836323,-60.39396673,-59.3612484,-58.336528,-57.312814,-56.28894652,-55.26473097,-54.24009814,-53.21498528,-52.18932001,-51.16301631,-50.13597116,-49.10806037,-48.07913333,-47.04900599,-46.01745177,-44.98418929,-43.94886581,-42.91103431,-41.87012123,-40.8253798,-39.77582006,-38.72009965,-37.65634315,-36.58182675,-35.49241378,-34.38160629,-33.23932216,-32.0515474,-30.80404554,-29.49386478,-28.1453854,-26.81449337,-25.56795585,-24.45410297,-23.49119023,-22.67469335,-21.98911444,-21.4160652,-20.9381239,-20.54016952
24,-61.46750063,-60.39065838,-59.35705869,-58.33202917,-57.30813057,-56.28408819,-55.25968459,-54.23484506,-53.20950358,-52.18358432,-51.15699714,-50.12963404,-49.10136478,-48.0720313,-47.04144031,-46.00935363,-44.97547519,-43.93943334,-42.90075632,-41.85883762,-40.81288538,-39.7618462,-38.70428444,-37.63818015,-36.56057189,-35.46691581,-34.35003008,-33.19883487,-31.99835619,-30.73460267,-29.40769994,-28.04782452,-26.71567738,-25.47796012,-24.37896051,-23.43260881,-22.63172397,-21.95970512,-21.39794202,-20.92917196,-20.53855443
25,-61.46665486,-60.38737935,-59.35288004,-58.3275316,-57.30344549,-56.27922737,-55.25463527,-54.22958858,-53.20401794,-52.17784401,-51.15097253,-50.12329046,-49.09466146,-48.06491991,-47.03386317,-46.00124132,-44.96674334,-43.92997828,-42.89044912,-41.84751547,-40.800339,-39.74780027,-38.68836563,-37.61986129,-36.53906941,-35.44100381,-34.31774641,-33.15718262,-31.94346104,-30.66317262,-29.32002339,-27.95011929,-26.61833847,-25.39048773,-24.30657428,-23.37646589,-22.59064876,-21.93161956,-21.38063501,-20.92061857,-20.53700992
26,-61.46582468,-60.38412882,-59.34871258,-58.32303542,-57.2987588,-56.27436408,-55.24958301,-54.22432868,-53.19852833,-52.17209908,-51.14494246,-50.1169404,-49.08795036,-48.05779911,-47.02627453,-45.99311476,-44.95799358,-43.92050042,-42.88011237,-41.83615429,-40.78773981,-39.73368077,-38.67234042,-37.60138095,-36.51730771,-35.41465484,-34.28471549,-33.11431333,-31.8868309,-30.58981013,-29.23101273,-27.85249383,-26.52260362,-25.30551128,-24.23681526,-23.32260534,-22.55133041,-21.90475661,-21.36408067,-20.91243271,-20.53553056
27,-61.46500895,-60.38090599,-59.34455638,-58.31854079,-57.29407056,-56.26949832,-55.24452779,-54.21906537,-53.19303475,-52.1663495,-51.13890692,-50.11058384,-49.08123146,-48.05066885,-47.0186743,-45.98497383,-44.94922579,-43.91099955,-42.86974575,-41.82475355,-40.77508694,-39.71948615,-38.65620584,-37.58273311,-36.49527442,-35.38784467,-34.25089654,-33.07017693,-31.8284434,-30.51458337,-29.14084978,-27.75515495,-26.42857341,-25.22298959,-24.16955771,-23.2708833,-22.51364511,-21.87902597,-21.34822249,-20.90458683,-20.53411152
28,-61.46420667,-60.37771008,-59.34041153,-58.31404782,-57.28938081,-56.2646301,-55.23946963,-54.21379863,-53.18753719,-52.16059526,-51.13286589,-50.10422074,-49.07450472,-48.04352909,-47.01106242,-45.97681846,-44.94043982,-43.90147545,-42.85934895,-41.81331272,-40.76237948,-39.70521477,-38.63995874,-37.56391133,-36.47295628,-35.36054782,-34.21624807,-33.02472597,-31.76828523,-30.43757279,-29.04971788,-27.65829132,-26.33632487,-25.14287104,-24.10468016,-23.22116728,-22.47748093,-21.85434661,-21.33300996,-20.8970563,-20.53274849
29,-61.46341691,-60.37454032,-59.33627808,-58.30955665,-57.28468959,-56.25975942,-55.2344085,-54.20852845,-53.18203563,-52.15483634,-51.12681934,-50.09785108,-49.0677701,-48.03637978,-47.00343882,-45.96864853,-44.93163552,-43.89192791,-42.8489216,-41.80183126,-40.74961649,-39.69086492,-38.62359575,-37.54490875,-36.45033921,-35.33273759,-34.18072816,-32.9779161,-31.70635232,-30.3588699,-28.95779944,-27.56207302,-26.24591436,-25.06509633,-24.04206607,-23.17333516,-22.4427364,-21.83064565,-21.31839776,-20.88981905,-20.53143759
30,-61.46263885,-60.37139598,-59.33215607,-58.3050674,-57.27999695,-56.25488628,-55.22934441,-54.20325483,-53.17653007,-52.14907273,-51.12076726,-50.09147484,-49.06102757,-48.02922087,-46.99580344,-45.96046394,-44.92281275,-43.88235672,-42.83846338,-41.7903086,-40.736797,-39.6764348,-38.60711333,-37.52571801,-36.42740822,-35.30438617,-34.14429471,-32.92970661,-31.64265003,-30.27857587,-28.8652738,-27.46665172,-26.15738021,-24.98960071,-23.98160417,-23.12727435,-22.40931932,-21.80785727,-21.30434508,-20.88285519,-20.53017534
